WINDOW_OPENED, v:java.awt.Dimension[width=500,height=500], since:253
MOUSE_MOVED, x:15, y:34, bt:0, since:1428
MOUSE_MOVED, x:5, y:80, bt:0, since:1627
MOUSE_MOVED, x:9, y:80, bt:0, since:1797
MOUSE_MOVED, x:30, y:69, bt:0, since:1860
MOUSE_MOVED, x:45, y:59, bt:0, since:1923
MOUSE_MOVED, x:46, y:56, bt:0, since:1986
MOUSE_MOVED, x:46, y:54, bt:0, since:2042
MOUSE_MOVED, x:44, y:54, bt:0, since:2100
MOUSE_MOVED, x:40, y:54, bt:0, since:2155
MOUSE_MOVED, x:35, y:57, bt:0, since:2214
MOUSE_MOVED, x:32, y:61, bt:0, since:2273
MOUSE_MOVED, x:29, y:66, bt:0, since:2330
MOUSE_MOVED, x:29, y:69, bt:0, since:2385
MOUSE_MOVED, x:31, y:72, bt:0, since:2476
MOUSE_MOVED, x:33, y:75, bt:0, since:2527
MOUSE_MOVED, x:34, y:75, bt:0, since:2578
MOUSE_PRESSED, x:34, y:75, bt:16, since:3052
MOUSE_DRAGGED, x:35, y:75, bt:0, since:3098
MOUSE_DRAGGED, x:36, y:75, bt:0, since:3292
MOUSE_DRAGGED, x:36, y:76, bt:0, since:3383
MOUSE_DRAGGED, x:37, y:77, bt:0, since:3514
MOUSE_DRAGGED, x:38, y:78, bt:0, since:3560
MOUSE_DRAGGED, x:39, y:78, bt:0, since:3655
MOUSE_DRAGGED, x:41, y:78, bt:0, since:3686
MOUSE_DRAGGED, x:42, y:78, bt:0, since:3856
MOUSE_DRAGGED, x:42, y:73, bt:0, since:3900
MOUSE_DRAGGED, x:42, y:69, bt:0, since:3941
MOUSE_DRAGGED, x:42, y:68, bt:0, since:3993
MOUSE_DRAGGED, x:41, y:68, bt:0, since:4078
MOUSE_DRAGGED, x:40, y:68, bt:0, since:4179
MOUSE_DRAGGED, x:39, y:69, bt:0, since:4226
MOUSE_DRAGGED, x:37, y:71, bt:0, since:4265
MOUSE_DRAGGED, x:36, y:72, bt:0, since:4302
MOUSE_DRAGGED, x:34, y:73, bt:0, since:4340
MOUSE_DRAGGED, x:33, y:74, bt:0, since:4389
MOUSE_DRAGGED, x:33, y:75, bt:0, since:4434
MOUSE_DRAGGED, x:32, y:75, bt:0, since:4473
MOUSE_DRAGGED, x:32, y:76, bt:0, since:4542
MOUSE_DRAGGED, x:32, y:77, bt:0, since:4571
MOUSE_DRAGGED, x:32, y:78, bt:0, since:4603
MOUSE_DRAGGED, x:33, y:78, bt:0, since:4661
MOUSE_DRAGGED, x:34, y:79, bt:0, since:4690
MOUSE_DRAGGED, x:35, y:79, bt:0, since:4718
MOUSE_DRAGGED, x:36, y:79, bt:0, since:4746
MOUSE_DRAGGED, x:38, y:79, bt:0, since:4776
MOUSE_DRAGGED, x:39, y:79, bt:0, since:4813
MOUSE_DRAGGED, x:41, y:80, bt:0, since:4850
MOUSE_DRAGGED, x:42, y:80, bt:0, since:4909
MOUSE_DRAGGED, x:42, y:74, bt:0, since:5076
MOUSE_DRAGGED, x:41, y:72, bt:0, since:5119
MOUSE_DRAGGED, x:39, y:71, bt:0, since:5177
MOUSE_DRAGGED, x:37, y:71, bt:0, since:5223
MOUSE_DRAGGED, x:36, y:71, bt:0, since:5259
MOUSE_DRAGGED, x:34, y:71, bt:0, since:5297
MOUSE_DRAGGED, x:31, y:73, bt:0, since:5338
MOUSE_DRAGGED, x:30, y:74, bt:0, since:5417
MOUSE_DRAGGED, x:30, y:76, bt:0, since:5508
MOUSE_DRAGGED, x:30, y:78, bt:0, since:5554
MOUSE_DRAGGED, x:31, y:80, bt:0, since:5602
MOUSE_DRAGGED, x:32, y:81, bt:0, since:5635
MOUSE_DRAGGED, x:33, y:82, bt:0, since:5692
MOUSE_DRAGGED, x:33, y:83, bt:0, since:5721
MOUSE_DRAGGED, x:34, y:83, bt:0, since:5750
MOUSE_DRAGGED, x:35, y:84, bt:0, since:5779
MOUSE_DRAGGED, x:36, y:85, bt:0, since:5863
MOUSE_DRAGGED, x:37, y:85, bt:0, since:5916
MOUSE_DRAGGED, x:38, y:86, bt:0, since:5962
MOUSE_DRAGGED, x:39, y:87, bt:0, since:5993
MOUSE_DRAGGED, x:42, y:90, bt:0, since:6036
MOUSE_DRAGGED, x:44, y:92, bt:0, since:6074
MOUSE_DRAGGED, x:47, y:95, bt:0, since:6114
MOUSE_DRAGGED, x:48, y:96, bt:0, since:6159
MOUSE_DRAGGED, x:49, y:97, bt:0, since:6189
MOUSE_DRAGGED, x:50, y:98, bt:0, since:6225
MOUSE_DRAGGED, x:51, y:100, bt:0, since:6276
MOUSE_DRAGGED, x:52, y:102, bt:0, since:6330
MOUSE_DRAGGED, x:55, y:104, bt:0, since:6376
MOUSE_DRAGGED, x:57, y:106, bt:0, since:6417
MOUSE_DRAGGED, x:59, y:110, bt:0, since:6464
MOUSE_DRAGGED, x:66, y:116, bt:0, since:6515
MOUSE_DRAGGED, x:76, y:127, bt:0, since:6570
MOUSE_DRAGGED, x:82, y:133, bt:0, since:6630
MOUSE_DRAGGED, x:86, y:135, bt:0, since:6676
MOUSE_DRAGGED, x:88, y:137, bt:0, since:6712
MOUSE_DRAGGED, x:91, y:138, bt:0, since:6754
MOUSE_DRAGGED, x:93, y:139, bt:0, since:6785
MOUSE_DRAGGED, x:94, y:139, bt:0, since:6815
MOUSE_DRAGGED, x:96, y:139, bt:0, since:6844
MOUSE_DRAGGED, x:101, y:139, bt:0, since:6875
MOUSE_DRAGGED, x:107, y:139, bt:0, since:6906
MOUSE_DRAGGED, x:115, y:139, bt:0, since:6946
MOUSE_DRAGGED, x:121, y:139, bt:0, since:6984
MOUSE_DRAGGED, x:126, y:137, bt:0, since:7023
MOUSE_DRAGGED, x:131, y:137, bt:0, since:7063
MOUSE_DRAGGED, x:135, y:137, bt:0, since:7098
MOUSE_DRAGGED, x:143, y:136, bt:0, since:7138
MOUSE_DRAGGED, x:151, y:135, bt:0, since:7173
MOUSE_DRAGGED, x:159, y:134, bt:0, since:7215
MOUSE_DRAGGED, x:168, y:132, bt:0, since:7255
MOUSE_DRAGGED, x:175, y:130, bt:0, since:7290
MOUSE_DRAGGED, x:184, y:124, bt:0, since:7330
MOUSE_DRAGGED, x:190, y:120, bt:0, since:7373
MOUSE_DRAGGED, x:191, y:118, bt:0, since:7414
MOUSE_DRAGGED, x:192, y:118, bt:0, since:7454
MOUSE_DRAGGED, x:193, y:117, bt:0, since:7489
MOUSE_DRAGGED, x:197, y:114, bt:0, since:7527
MOUSE_DRAGGED, x:202, y:109, bt:0, since:7576
MOUSE_DRAGGED, x:206, y:106, bt:0, since:7613
MOUSE_DRAGGED, x:211, y:103, bt:0, since:7657
MOUSE_DRAGGED, x:214, y:101, bt:0, since:7692
MOUSE_DRAGGED, x:221, y:98, bt:0, since:7736
MOUSE_DRAGGED, x:226, y:97, bt:0, since:7771
MOUSE_DRAGGED, x:255, y:87, bt:0, since:7881
MOUSE_DRAGGED, x:267, y:84, bt:0, since:7928
MOUSE_DRAGGED, x:274, y:81, bt:0, since:7971
MOUSE_DRAGGED, x:277, y:80, bt:0, since:8022
MOUSE_DRAGGED, x:280, y:77, bt:0, since:8074
MOUSE_DRAGGED, x:283, y:76, bt:0, since:8129
MOUSE_DRAGGED, x:287, y:72, bt:0, since:8185
