COMPONENT_RESIZED, size:java.awt.Dimension[width=490,height=470], bounds:java.awt.Rectangle[x=1,y=28,width=490,height=470], since:479
COMPONENT_RESIZED, size:java.awt.Dimension[width=490,height=470], bounds:java.awt.Rectangle[x=1,y=28,width=490,height=470], since:480
WINDOW_OPENED, v:java.awt.Dimension[width=492,height=499], since:482
COMPONENT_MOVED, size:java.awt.Dimension[width=498,height=471], bounds:java.awt.Rectangle[x=1,y=28,width=498,height=471], since:794
MOUSE_MOVED, x:117, y:58, bt:0, since:799
COMPONENT_RESIZED, size:java.awt.Dimension[width=498,height=471], bounds:java.awt.Rectangle[x=1,y=28,width=498,height=471], since:865
MOUSE_MOVED, x:114, y:69, bt:0, since:865
MOUSE_MOVED, x:111, y:93, bt:0, since:865
MOUSE_MOVED, x:109, y:105, bt:0, since:865
MOUSE_MOVED, x:108, y:112, bt:0, since:929
MOUSE_MOVED, x:107, y:117, bt:0, since:964
MOUSE_MOVED, x:106, y:120, bt:0, since:1002
MOUSE_MOVED, x:100, y:133, bt:0, since:1050
MOUSE_MOVED, x:99, y:133, bt:0, since:1080
MOUSE_MOVED, x:100, y:130, bt:0, since:1300
MOUSE_MOVED, x:120, y:104, bt:0, since:1337
MOUSE_MOVED, x:126, y:98, bt:0, since:1373
MOUSE_MOVED, x:151, y:78, bt:0, since:1373
MOUSE_MOVED, x:159, y:72, bt:0, since:1409
MOUSE_MOVED, x:199, y:53, bt:0, since:1410
MOUSE_MOVED, x:224, y:45, bt:0, since:1439
MOUSE_MOVED, x:247, y:39, bt:0, since:1465
MOUSE_MOVED, x:250, y:36, bt:0, since:1493
MOUSE_MOVED, x:252, y:35, bt:0, since:1569
MOUSE_MOVED, x:253, y:36, bt:0, since:1604
MOUSE_MOVED, x:253, y:37, bt:0, since:1638
MOUSE_MOVED, x:251, y:41, bt:0, since:1726
MOUSE_MOVED, x:249, y:42, bt:0, since:1793
MOUSE_MOVED, x:241, y:41, bt:0, since:1828
MOUSE_MOVED, x:236, y:39, bt:0, since:1895
MOUSE_MOVED, x:232, y:38, bt:0, since:1929
MOUSE_MOVED, x:231, y:37, bt:0, since:1956
MOUSE_MOVED, x:233, y:37, bt:0, since:2139
MOUSE_MOVED, x:234, y:38, bt:0, since:2165
MOUSE_MOVED, x:235, y:39, bt:0, since:2165
MOUSE_MOVED, x:236, y:39, bt:0, since:2199
MOUSE_MOVED, x:238, y:40, bt:0, since:2199
MOUSE_MOVED, x:240, y:40, bt:0, since:2234
MOUSE_MOVED, x:238, y:40, bt:0, since:2787
MOUSE_MOVED, x:238, y:41, bt:0, since:2810
MOUSE_MOVED, x:237, y:41, bt:0, since:2842
MOUSE_MOVED, x:238, y:41, bt:0, since:3054
MOUSE_MOVED, x:239, y:41, bt:0, since:3080
MOUSE_MOVED, x:239, y:39, bt:0, since:3324
MOUSE_MOVED, x:240, y:39, bt:0, since:3632
MOUSE_MOVED, x:241, y:39, bt:0, since:3665
MOUSE_MOVED, x:241, y:40, bt:0, since:3666
MOUSE_MOVED, x:242, y:40, bt:0, since:3691
MOUSE_MOVED, x:243, y:40, bt:0, since:3691
MOUSE_MOVED, x:244, y:40, bt:0, since:3724
MOUSE_MOVED, x:246, y:41, bt:0, since:3725
MOUSE_MOVED, x:247, y:41, bt:0, since:3758
MOUSE_MOVED, x:248, y:41, bt:0, since:3792
MOUSE_MOVED, x:251, y:41, bt:0, since:3792
MOUSE_MOVED, x:252, y:41, bt:0, since:3820
MOUSE_MOVED, x:255, y:41, bt:0, since:3820
MOUSE_MOVED, x:259, y:41, bt:0, since:3884
MOUSE_MOVED, x:260, y:41, bt:0, since:3953
MOUSE_MOVED, x:261, y:41, bt:0, since:4015
MOUSE_MOVED, x:264, y:43, bt:0, since:4048
MOUSE_MOVED, x:266, y:44, bt:0, since:4117
MOUSE_MOVED, x:268, y:45, bt:0, since:4172
MOUSE_MOVED, x:271, y:45, bt:0, since:4219
MOUSE_MOVED, x:272, y:45, bt:0, since:4281
MOUSE_MOVED, x:272, y:44, bt:0, since:4440
MOUSE_MOVED, x:273, y:42, bt:0, since:4470
MOUSE_MOVED, x:275, y:39, bt:0, since:4503
MOUSE_MOVED, x:276, y:39, bt:0, since:4600
MOUSE_MOVED, x:277, y:39, bt:0, since:4631
MOUSE_MOVED, x:278, y:39, bt:0, since:4631
MOUSE_MOVED, x:280, y:39, bt:0, since:4722
MOUSE_MOVED, x:280, y:41, bt:0, since:4914
MOUSE_MOVED, x:279, y:44, bt:0, since:4967
MOUSE_MOVED, x:279, y:43, bt:0, since:5201
MOUSE_MOVED, x:279, y:41, bt:0, since:5235
MOUSE_MOVED, x:279, y:39, bt:0, since:5293
MOUSE_MOVED, x:279, y:38, bt:0, since:5325
MOUSE_MOVED, x:278, y:38, bt:0, since:5466
MOUSE_MOVED, x:278, y:39, bt:0, since:5491
MOUSE_MOVED, x:278, y:40, bt:0, since:5524
MOUSE_PRESSED, x:278, y:40, bt:16, since:6110
MOUSE_DRAGGED, x:280, y:40, bt:0, since:6360
MOUSE_DRAGGED, x:281, y:40, bt:0, since:6393
MOUSE_RELEASED, x:281, y:40, bt:16, since:6955
MOUSE_MOVED, x:283, y:38, bt:0, since:7121
MOUSE_MOVED, x:285, y:38, bt:0, since:7147
MOUSE_MOVED, x:287, y:38, bt:0, since:7147
MOUSE_MOVED, x:289, y:38, bt:0, since:7176
MOUSE_MOVED, x:292, y:38, bt:0, since:7209
MOUSE_MOVED, x:293, y:38, bt:0, since:7242
MOUSE_MOVED, x:300, y:38, bt:0, since:7242
MOUSE_MOVED, x:302, y:38, bt:0, since:7275
MOUSE_MOVED, x:306, y:38, bt:0, since:7275
MOUSE_MOVED, x:307, y:38, bt:0, since:7275
MOUSE_MOVED, x:312, y:38, bt:0, since:7308
MOUSE_MOVED, x:315, y:38, bt:0, since:7368
MOUSE_MOVED, x:316, y:38, bt:0, since:7642
MOUSE_MOVED, x:317, y:39, bt:0, since:7642
MOUSE_MOVED, x:319, y:40, bt:0, since:7680
MOUSE_MOVED, x:320, y:40, bt:0, since:7714
MOUSE_MOVED, x:320, y:41, bt:0, since:7714
MOUSE_PRESSED, x:320, y:41, bt:16, since:8089
MOUSE_DRAGGED, x:323, y:41, bt:0, since:8614
MOUSE_DRAGGED, x:324, y:41, bt:0, since:8680
MOUSE_DRAGGED, x:324, y:40, bt:0, since:8714
MOUSE_DRAGGED, x:323, y:40, bt:0, since:9009
MOUSE_DRAGGED, x:321, y:39, bt:0, since:9072
MOUSE_DRAGGED, x:319, y:38, bt:0, since:9131
MOUSE_DRAGGED, x:317, y:38, bt:0, since:9131
MOUSE_DRAGGED, x:318, y:40, bt:0, since:9496
MOUSE_DRAGGED, x:318, y:41, bt:0, since:9496
